country_code,satdem,econ_percep,age_mean,educ_mean,income_mean,female_share,n_resp,survey_year,gdp_mean,log_gdp,unemp_mean,democracy,libdem,econ_percep_z,log_gdp_z,unemp_mean_z,democracy_z,libdem_z,income_mean_z,educ_mean_z,age_mean_z
ARG,8.863777089783282,3.1847265221878227,42.591331269349844,2.7533539731682146,5.108695652173913,0.5149638802889577,969,2017,11579.513720176312,9.35699275716894,9.068666666666667,0.7931666666666667,0.6366666666666667,0.20308518665152248,0.3209386932480182,0.4961816401164082,1.0827620899018897,0.890274344294413,0.35086188873936014,-0.8387105225864239,-0.029404521492966268
ARM,8.927487352445194,3.3195615514333894,49.05817875210793,4.455160744500846,4.720475785896347,0.6854974704890388,1186,2021,4698.020599245433,8.454896549893245,17.0115,0.642,0.4688333333333334,0.7990297154872753,-0.448056687324059,2.314784908470732,0.4871378689284461,0.24868300992415074,-0.35357331987048857,1.012127731705451,1.028438410632477
AUS,9.058525604952166,3.216657287563309,54.317667044167614,4.671137026239067,5.140371229698376,0.6050847457627119,1777,2018,57439.0593135285,10.958479826734392,5.204,0.8461666666666666,0.7998333333333334,0.3442129413123886,1.6861325036298933,-0.388678350789441,1.2915917506180474,1.5140259990595437,0.40833806139181517,1.247017597578882,1.8887822692414569
BGD,8.1125,3.165,36.590833333333336,1.853211009174312,5.615,0.5066666666666667,1200,2018,2225.718468011233,7.7078350494484456,4.817333333333333,0.25733333333333336,0.09766666666666667,0.11589780636490801,-1.0848921359290693,-0.47721014218592067,-1.0285189138793907,-1.1702086500982665,1.2695645102737823,-1.8176812613072375,-1.0109622817111112
BOL,8.510093549975382,3.0940423436730673,38.24569177744953,3.3846913580246913,5.036831483350151,0.5007385524372231,2031,2017,4044.933451948649,8.305220377428617,4.566666666666666,0.5379999999999999,0.3173333333333333,-0.1977211938581633,-0.5756487160663243,-0.5346031655739834,0.07735891205145697,-0.3304694458281518,0.22046245492793973,-0.1520853410789249,-0.7402615556705138
BRA,8.18095838587642,3.1828499369482977,42.9186119873817,2.8659003831417627,4.056953642384106,0.5372005044136192,1586,2018,8789.844250410932,9.081352271570127,12.1905,0.7191666666666666,0.5706666666666668,0.19479104593270288,0.08596790142497761,1.2109613748782444,0.7911886013548014,0.6379703041646974,-1.5575517871860052,-0.7163081414987391,0.024131856984183665
CAN,8.72200099552016,3.053758088601294,46.56470881035341,4.894420815611709,5.573668491786958,0.48755599800895966,4018,2020,48450.49588012673,10.788297852150473,6.736,0.8454999999999999,0.7595000000000001,-0.375769743575347,1.5410602250235024,-0.037909287635802744,1.2889649624329382,1.359840196758051,1.1945673961657755,1.4898549078397427,0.6205581318127126
CHL,7.789640591966173,3.1109936575052854,45.14799154334038,3.844279661016949,4.693304535637149,0.5264270613107822,946,2018,14960.39513487715,9.613161663938826,8.472833333333334,0.8504999999999999,0.7885,-0.12279969318128801,0.5393108628275276,0.3597587288050226,1.308665873821255,1.470701062875653,-0.40287627164380996,0.3477502611363952,0.388812392992438
CHN,8.77257636122178,3.148406374501992,44.570385126162016,2.8326079678607297,4.1461538461538465,0.549136786188579,3012,2018,10982.291076517111,9.304039352360736,4.645,0.07616666666666666,0.04416666666666667,0.04255721835585841,0.2757983597063785,-0.5166678457652139,-1.742348603182735,-1.3747278341428089,-1.3956956597469925,-0.7525160570023631,0.2943278906763515
COL,8.313815789473685,3.4539473684210527,38.84605263157895,3.1194926568758343,4.442763157894737,0.5,1520,2018,6335.299961894526,8.753892441578154,11.524666666666667,0.6688333333333333,0.5275,1.3929888137648017,-0.19317648977828372,1.0585111565037029,0.5928660933790793,0.4729532678172312,-0.8574902237520458,-0.4405081569609312,-0.6420548965589649
CYP,8.75381485249237,3.112919633774161,43.52899287894201,4.4580712788259955,5.27645788336933,0.5127161749745677,983,2019,29815.703776041668,10.302790506042719,8.148,0.8165,0.6953333333333332,-0.11428725374677383,1.1271876209936211,0.285384391980997,1.1746996763807014,1.1145446021874932,0.65527089145769,1.0152931488139971,0.12397758765326677
CZE,7.959663865546219,2.977310924369748,49.06386554621849,3.1463414634146343,5.236193712829227,0.5394957983193277,1190,2022,24688.90446407633,10.114109209709426,2.4551666666666665,0.8221666666666666,0.7306666666666667,-0.7136512979733936,0.9663455244296236,-1.0180554350576043,1.1970273759541268,1.2496164620549173,0.5822104897686091,-0.4113081331620014,1.0293686529139514
DEU,9.465300727032385,3.1612690019828156,50.83410442828817,4.088741721854305,5.19562243502052,0.5122273628552545,1513,2018,48729.489994039955,10.79403966982834,3.4899999999999998,0.8733333333333334,0.8263333333333334,0.09940752288383532,1.545954859581053,-0.7811184123072844,1.3986333691612356,1.6153298939601115,0.5085928338233294,0.613620477157747,1.3189432400004542
ECU,8.224786324786324,3.5,39.368376068376065,3.234790059982862,4.77128116938951,0.5247863247863248,1170,2018,6130.475484419112,8.721027592711524,4.251833333333333,0.621,0.44716666666666666,1.5965324624851855,-0.2211922565643582,-0.6066878871032721,0.40439404109751564,0.1658559260431832,-0.26138560865758165,-0.31511387137826574,-0.5566135501575734
EGY,9.132404181184668,2.7273519163763065,39.461672473867594,2.6750871080139373,5.042134831460674,0.4695121951219512,1148,2018,3235.761868497575,8.082019687243681,8.572333333333333,0.17800000000000002,0.12033333333333333,-1.8184213572108114,-0.7659170026508155,0.38254040098765096,-1.34110670790735,-1.0835587777304851,0.23008552025014548,-0.9238314132252626,-0.5413521815533102
ETH,9.491803278688524,3.1827868852459016,31.94672131147541,2.039538714991763,4.397867104183757,0.49098360655737705,1220,2020,822.4046130104258,6.712232503890453,3.2871666666666663,0.29150000000000004,0.13633333333333333,0.19451236970674768,-1.933597354114199,-0.8275594425355239,-0.8938960193925594,-1.0223941619414632,-0.9389552998824896,-1.6150363714344993,-1.770643268686537
GBR,8.881443298969073,3.2081681205392547,52.01799163179916,4.272151898734177,5.6706273764258555,0.5670682730923695,2522,2022,43889.94163993191,10.689440452991988,4.2345,0.8611666666666666,0.7913333333333333,0.3066924789320663,1.4567888549910029,-0.6106565536141488,1.3506944847829976,1.4815322969216256,1.370501855115762,0.8130923427737733,1.5126027802953073
GRC,9.35738255033557,2.783557046979866,50.93708053691275,3.228187919463087,4.544978165938865,0.5310402684563759,1192,2017,19544.78540119728,9.880463798437807,16.769666666666666,0.8188333333333334,0.7041666666666666,-1.5700056431111207,0.7671735951934473,2.2594143785930196,1.1838934350285828,1.1483125671543493,-0.6720183899558277,-0.3222941778854735,1.3357880084872216
GTM,7.515,3.408333333333333,33.464166666666664,4.12987012987013,5.9629005059021924,0.5275,1200,2020,4656.480640285047,8.446015214385165,2.521333333333333,0.5791666666666667,0.3948333333333333,1.1913836759846115,-0.4556276159278387,-1.0029058138574307,0.23956308248193223,-0.03420333810007636,1.9008391737796988,0.6583506029135666,-1.5224204911808843
HKG,7.824271844660194,2.8936893203883494,47.095447870778266,4.037900874635569,4.806231742940604,0.5402912621359224,2060,2018,47960.439382479235,10.778131770535666,4.024333333333334,0.26516666666666666,0.221,-1.0832424766457045,1.532394109661024,-0.6587766350585283,-0.9976541527043611,-0.6987314033912218,-0.19796686915161352,0.5583273695628348,0.7073761007489279
IDN,8.43344925703446,3.3727473917167248,39.92127726841606,2.269449715370019,4.238683127572016,0.5456844767625671,3163,2018,4106.416038384935,8.32030591694296,3.884,0.5858333333333333,0.4366666666666667,1.0341007553033479,-0.5627889899014162,-0.6909075696946646,0.26583096433302095,0.12571664693163767,-1.2277988329222542,-1.3649914886953312,-0.46617031205965914
IRN,8.808108108108108,2.781756756756757,39.04823369565217,4.003387533875339,3.93028024606972,0.4858108108108108,1480,2020,4551.715150269402,8.42325939701806,10.536833333333334,0.17116666666666666,0.10833333333333334,-1.577962574739209,-0.47502589994157257,0.832335325638645,-1.3680312868047162,-1.1294322395722518,-1.7874040129714917,0.5207916090766875,-0.6089822425015288
IRQ,7.327396098388465,2.7871077184054283,36.5852417302799,2.8469387755102042,4.457167090754877,0.4910941475826972,1179,2018,5293.707689202379,8.574274165773831,14.653833333333333,0.37966666666666665,0.23966666666666667,-1.5543123679911692,-0.3462927796438415,1.7749699424816792,-0.5465032819119071,-0.6273726849706961,-0.8313539068591839,-0.7369302646202022,-1.0118769526980338
JOR,8.184931506849315,3.077054794520548,43.29623287671233,3.160958904109589,4.039586919104991,0.4905821917808219,1168,2018,4153.160383739077,8.331624861652003,18.404666666666667,0.2591666666666667,0.24183333333333334,-0.2728028475828402,-0.5531401119613447,2.6337664792824445,-1.021295246370341,-0.6190899765825993,-1.5890641656052125,-0.39541060656038884,0.08590284970766761
JPN,8.71989966555184,3.20066889632107,55.72240802675585,4.4331641285956005,4.253909843606256,0.5484949832775919,1196,2019,38865.01347430102,10.567849728359256,2.645166666666667,0.8311666666666667,0.7488333333333334,0.27354737065904955,1.3531383742453207,-0.9745527444576098,1.2324890164530975,1.319063786232036,-1.2001695542125608,0.9882048170313524,2.11856893482463
KAZ,7.936772046589018,3.1855241264559067,41.36189683860233,4.788245462402766,5.545844044558698,0.5540765391014975,1202,2018,9648.857374200395,9.17459478050378,4.978,0.24383333333333335,0.119,0.20661044193867037,0.1654528366953194,-0.4404236564504869,-1.081711374627846,-1.0886558290462371,1.1440792012270868,1.374381512920659,-0.23051464919358897
KEN,7.916196615632554,3.320709105560032,30.70259319286872,3.3114886731391584,4.591020408163265,0.48991121872477805,1241,2021,1927.1548354088352,7.563800015684017,4.951833333333333,0.5095,0.41083333333333333,0.8041016808893087,-1.20767535429542,-0.44641481647171416,-0.03493628286194849,0.026961277688945715,-0.5884735244722529,-0.23169856849423417,-1.9741569808060173
KGZ,8.597281223449448,3.635514018691589,41.434154630416316,4.449447748513169,5.068044788975022,0.6202209005947323,1177,2020,1374.3575338049616,7.225741652764397,5.049166666666667,0.424,0.2783333333333333,2.1954779922311483,-1.4958545056456227,-0.42412922760294497,-0.3718218676021651,-0.4795581968138929,0.27709982300002584,1.0059144343448294,-0.21869476406946667
KOR,7.900401606425703,2.9309236947791164,45.62971887550201,4.118072289156626,4.8401606425702814,0.5124497991967871,1245,2018,34745.753337087,10.455812637398168,3.608333333333333,0.8506666666666667,0.7793333333333333,-0.9186738046399522,1.2576319252580235,-0.7540246313195687,1.3093225708675327,1.4356588350798591,-0.13640198398047093,0.6455195957284818,0.46761305357667104
LBN,6.947014297729184,3.0294365012615643,40.85702270815812,3.6921783010933558,5.526492851135408,0.4987384356602187,1189,2018,6658.2586003934875,8.803613257932437,11.564333333333332,0.4383333333333333,0.2785,-0.4832664155367204,-0.15079178869392293,1.0675932971728241,-0.3153459216223238,-0.4789210653994238,1.1089659492786696,0.18232900402389832,-0.3131016487984725
LBY,8.570109151973131,3.26112510495382,40.19152542372881,4.334453781512605,5.438704028021016,0.4819479429051218,1191,2022,8116.402611181812,9.001642306810165,19.278833333333335,0.24916666666666668,0.13966666666666666,0.5407520204479678,0.018018835469930806,2.8339170162973306,-1.0606970691469748,-1.0096515336520837,0.9496708093437534,0.8808501575287505,-0.4219632850994989
MAR,8.7025,2.9433333333333334,37.22,2.4791666666666665,5.2283333333333335,0.5,1200,2021,3470.5710856119817,8.152074437385595,9.806,0.25983333333333336,0.239,-0.863825622809206,-0.7061985615225084,0.6650026078483157,-1.018668458185232,-0.629921210628572,0.5679476234113698,-1.136909098513424,-0.9080435855091721
MDV,7.3728155339805825,3.1495145631067962,37.62999026290166,2.7046783625730995,5.947317073170732,0.5272904483430799,1030,2021,10504.872789622,9.259594503698118,4.94,0.5063333333333333,0.3423333333333333,0.04745519582986001,0.23791117756757488,-0.44912419457048564,-0.04741352674121572,-0.2348997336578048,1.8725626231943264,-0.8916487783614359,-0.8409776305740794
MEX,8.306181398035818,3.4979780473714617,43.34123770965876,3.033081834010447,4.2370110916520725,0.49740034662045063,1731,2018,10110.790458739883,9.221358494788024,3.6476666666666664,0.6436666666666667,0.4063333333333334,1.5875958262617607,0.2053167447496254,-0.7450188111602716,0.49370483939121856,0.009758729498283469,-1.2308327862934774,-0.5344861920928867,0.09326471258920338
MMR,8.93,3.175,40.431666666666665,2.377295492487479,4.7025,0.49916666666666665,1200,2020,1314.66888239922,7.18134011244794,1.9015000000000002,0.30716666666666664,0.1708333333333333,0.16009585580133326,-1.533704769418215,-1.144823801876184,-0.8321664970425003,-0.8905079591463846,-0.38619085850712703,-1.2477013866607003,-0.3826811283405949
MNG,7.462148962148962,2.86996336996337,38.798534798534796,4.645299145299146,5.493894993894994,0.5164835164835165,1638,2020,4268.923110121458,8.359116875380359,6.832999999999999,0.6315000000000001,0.5146666666666667,-1.188106549626648,-0.5297044391481581,-0.015700019276858386,0.4457659550129811,0.42389414890312005,1.0498162757043479,1.2189170286664683,-0.6498278344502164
MYS,8.186595582635187,3.0281797410510283,38.32977913175933,3.344249809596344,4.601675552170602,0.49961919268849964,1313,2018,10716.623279035763,9.279551392376934,3.858333333333333,0.43,0.297,-0.4888210505282208,0.2549235040587235,-0.6967842489511551,-0.34818077393618496,-0.40819947839336723,-0.5691394840390679,-0.1960684572322171,-0.726506597992153
NGA,7.923390383048085,3.1075794621026893,32.44861337683523,2.5894909688013135,4.410361842105263,0.4873675631621842,1227,2018,2601.3109048795636,7.863770791130841,5.008333333333334,0.5221666666666667,0.35533333333333333,-0.1378897709002443,-0.9519641133382422,-0.43347849005645256,0.014972692655120846,-0.1852034833292244,-0.9162832676687437,-1.0169234208157365,-1.688544073453268
NIC,8.166666666666666,3.3333333333333335,35.1325,2.7356130108423686,4.579166666666667,0.5091666666666667,1200,2020,2096.020548504483,7.64779584906868,5.197,0.21683333333333332,0.051333333333333335,0.8598983052114162,-1.1360727831515123,-0.3902810814957565,-1.1880962961247565,-1.3473311833206427,-0.6099824517304822,-0.8580051054343427,-1.249515551053356
NLD,8.832341806381828,3.1627906976744184,54.36452136289886,4.824212271973466,5.8454258675078865,0.5148729042725798,1849,2022,54959.48231253707,10.914351507502106,3.933833333333333,0.8649999999999999,0.8155,0.10613312102430139,1.6485151482210743,-0.6794976534758943,1.3657985168473734,1.5739163520196275,1.6876783373775424,1.413498026122775,1.8964466698696691
NZL,9.131282051282051,3.2666666666666666,57.35970464135021,4.496311907270812,5.76530612244898,0.5769633507853403,975,2020,45018.5350334215,10.714829573580797,4.141666666666667,0.8821666666666667,0.828,0.5652446423019073,1.4784319084614788,-0.6319118156002863,1.4334383126139283,1.621701208104801,1.5422989422798516,1.0568826049062447,2.3863969075979834
PAK,8.386027536970934,3.3452320244773075,35.63803680981595,2.1789903110657827,4.423097679438748,0.4752677205507394,1961,2018,1458.5048400519,7.2851671078157425,4.956666666666667,0.38866666666666666,0.24733333333333332,0.9124881991524292,-1.4451970479883243,-0.4453081690792581,-0.511041641412937,-0.598064639905123,-0.8931737541993314,-1.4633726496867345,-1.1668201507645948
PER,8.624092888243831,3.174165457184325,40.11828737300436,3.32510885341074,4.96041055718475,0.4949201741654572,1378,2018,6843.637435486326,8.831074658080825,4.5215000000000005,0.7885,0.6793333333333332,0.1564073393389321,-0.12738221254469326,-0.5449445946552098,1.0643745726061273,1.0533799863984712,0.08179466447799774,-0.21688563490997384,-0.43394352037303396
PHL,7.474562135112594,3.416180150125104,43.642737896494154,2.341117597998332,4.391993327773144,0.49958298582151794,1199,2019,3311.2425767103737,8.105078798744694,2.6075,0.45449999999999996,0.30183333333333334,1.2260650756327385,-0.7462601743864261,-0.9831769620677843,-0.2516463081334329,-0.3897226673737667,-0.9496134224325079,-1.2870474700164594,0.14258392763620678
ROU,8.440924657534246,2.944349315068493,47.91240242844753,3.222715173025732,5.4159132007233275,0.5941780821917808,1168,2018,13245.739357860099,9.491431221806192,4.8775,0.7301666666666667,0.5618333333333333,-0.8593351817134971,0.43554127936182163,-0.463434290162589,0.8345306064090987,0.6042023391978409,0.9083162508154174,-0.3282461864406896,0.8410130246136478
RUS,7.395584725536993,2.9826968973747015,45.16706443914081,4.902278177458034,4.824432166973604,0.5871121718377088,1676,2017,11911.912109375,9.385294196010147,4.809666666666667,0.25,0.09466666666666666,-0.6898463478597745,0.3450643636110011,-0.4789655139118853,-1.0574135839155887,-1.181677015558708,-0.16494171867848598,1.4984003585501096,0.3919323255517632
SGP,7.982758620689655,3.142494929006085,47.738843813387426,4.242762823768411,4.987525987525988,0.5385395537525355,1972,2020,70972.52890361215,11.170048164301281,3.874,0.4046666666666667,0.32916666666666666,0.01642978232897452,1.8664847464971885,-0.6931971849894011,-0.4479987249703232,-0.28523311540085416,0.1309963295347745,0.781129592876911,0.812622413154151
SRB,7.591408591408592,2.958041958041958,46.08617234468938,5.138071065989847,4.782791185729276,0.5224775224775224,1001,2017,8277.93130514093,9.021348373789216,10.649666666666667,0.3581666666666667,0.2655,-0.7988163706078433,0.03481734803867158,0.8581698182142554,-0.6312172008816691,-0.5286173157280042,-0.24050037978161,1.7548422211259165,0.5422794312067903
SVK,8.185341196293177,2.6992417860151643,52.550126368997475,3.336141533277169,5.196904557179708,0.535804549283909,1187,2022,19966.929163489433,9.901832642101406,6.700500000000001,0.8388333333333332,0.7423333333333333,-1.9426626503474262,0.785389548140528,-0.04603742193211723,1.2626970805818492,1.2942156610677455,0.5109192783696391,-0.20488679562450507,1.599649053179353
THA,7.810169491525424,3.153898305084746,46.12135593220339,2.170446735395189,4.748474576271186,0.5300136425648022,1475,2018,7011.7948682004,8.855348991220794,0.9274999999999999,0.18883333333333333,0.16166666666666665,0.06683048029565512,-0.10668946392148682,-1.3678323315835232,-1.2984213998993306,-0.9255501869421785,-0.30276877468417424,-1.4726644076853173,0.5480347408035835
TJK,8.368333333333334,3.5658333333333334,41.065,4.252312867956266,5.644166666666667,0.505,1200,2020,886.3345314741606,6.787094454368837,7.233833333333333,0.169,0.043333333333333335,1.8875029546083248,-1.869780996574743,0.0760753937871648,-1.3765683484063203,-1.3779134912151538,1.3224881978603868,0.7915159583625876,-0.279080851369106
TUN,7.866441251056636,2.8841927303465766,43.08798646362098,2.5630323679727427,4.7147707979626485,0.5342349957734573,1183,2019,3656.4823341476035,8.204256853343558,16.254166666666666,0.6155,0.5276666666666666,-1.1252155522600789,-0.6617154603908121,2.141384710149351,0.3827230385703674,0.4735903992317001,-0.36392517126780466,-1.0456990676127051,0.05183802958990466
TUR,7.8944020356234095,3.052586938083121,38.91344929995757,2.3381539770310504,5.3460537727666955,0.49957591178965227,2358,2018,9918.910238998697,9.202198339304775,11.8645,0.29033333333333333,0.11216666666666668,-0.38094600042531696,0.18898359653458355,1.136319916269833,-0.8984928987165001,-1.1147782170394651,0.7815544722957938,-1.2902706226974012,-0.6310301910153112
UKR,8.218697829716193,2.96661101836394,47.341402337228715,4.957947855340622,4.540657439446367,0.5934891485809682,1198,2020,3661.431152343752,8.205609375195504,9.1604,0.4771666666666667,0.2793333333333333,-0.7609427954343749,-0.6605624979374947,0.5171850444201245,-0.16233550983973002,-0.475735408327079,-0.6798584623799236,1.5589451696090741,0.7476091810330985
URY,9.362394957983193,3.338235294117647,49.76365546218487,3.3781512605042017,5.01824034334764,0.6859243697478992,952,2022,18534.715226208733,9.827400751356134,8.78,0.8721666666666666,0.8093333333333333,0.8815640157194682,0.7219397966742004,0.4300880786083464,1.3940364898372946,1.5503424896842755,0.18672834000090838,-0.159198171325947,1.1438398567812764
USA,8.323390894819466,3.1145996860282574,43.505102040816325,4.891699604743083,5.048566878980892,0.46232339089481944,2548,2017,66209.94542298987,11.100585963616934,4.829,0.8198333333333333,0.7436666666666666,-0.10686175048854014,1.8072714264324157,-0.4745389243420614,1.1878336173062458,1.2993127123834973,0.24175664048450574,1.4868953937171707,0.12006953905289479
